OD_id,matching_prob,ride_distance,detour_distance,shared_distance,ride_distance_for_taker,detour_distance_for_taker,shared_distance_for_taker,ride_distance_for_seeker,detour_distance_for_seeker,shared_distance_for_seeker
0,0.13107428497177653,6078.742660589541,169.66050447423615,342.9701685003182,6018.972130020298,109.88997390499372,230.25555180303994,5973.552224205403,64.47006809009518,122.5616897889379
1,0.04474957643919997,1562.0335548033997,29.874314047552392,64.30359189906319,1553.4973110133703,21.338070257523217,29.217837540289,1541.260333001178,9.101092245330964,35.859191234869954
2,0.0965167525894387,4815.3348203123,101.55342944735989,170.83650030422012,4737.829415190951,24.04802432601256,38.474313743993605,4793.212614258827,79.43122339388843,135.4432935745568
3,0.08657198607681105,4787.494438496229,96.02982614444902,147.62156940936245,4698.715225023107,7.250612671326746,17.39182087969893,4780.831894595864,89.3672822440822,131.64033094429533
4,0.10929612098395258,5378.024095339762,123.11201953290936,300.1608825873137,5319.702876457304,64.79080065045041,171.57176391833266,5316.376469717389,61.46439391053705,136.91252381998166
5,0.14127339860381583,7083.934289809292,171.46726957533517,351.6512696683913,7011.70777669751,99.2407564635526,247.2057750713879,6989.441853383107,76.97483314914653,116.27341869746762
6,0.08670214524801301,6804.011295361559,63.516460815383525,247.06739537326766,6787.211988186213,46.71715364003648,147.11890097977243,6758.419771116147,17.92493656997078,103.49325999979816
7,0.03170023598181382,760.3798421998949,20.55073007818709,28.312812935346685,754.7522647239994,14.923152602291694,15.556263271482663,745.7267214002608,5.897609278553046,13.03803749192325
8,0.11631133014862205,4976.134526737258,76.42311833849845,274.73875800666366,4971.530223149932,71.81881475117211,216.1578446022768,4905.5971552281935,5.8857468294329305,62.43775802307903
9,0.1379721361453612,5798.253825033688,133.02493293896447,560.1009997368761,5732.492054715048,67.2631626203231,173.35769402119652,5737.78120957777,72.55231748304797,404.24461775193566
10,0.1462086507338216,3610.413275318694,150.82386214052624,319.4082743153942,3533.840175236523,74.25076205835467,143.69299555191563,3542.046571737008,82.45715855884048,187.10234018987447
11,0.12059962545764469,5033.406895737022,153.1915227066506,296.66884511837407,4935.191196551571,54.97582352119995,100.95111980279559,4982.706843518741,102.49147048836943,203.56924755578405
12,0.1751456345831801,1602.4106983198794,112.43301662588476,252.82408409601805,1590.1123031075167,100.13462141352227,128.70483673803142,1511.7034448444983,21.725763150503504,136.23641357102977
13,0.21378706320294039,5386.487629990959,246.0211490225079,677.8234011122885,5271.597347868693,131.13086690024065,295.1120255261114,5273.129561234597,132.66308026614624,422.7093301752897
14,0.17863224916545883,6900.899142122318,206.0476485738463,730.8143495731159,6785.124514861673,90.27302131320053,317.0466013080223,6821.510271922232,126.6587783737611,451.9938214410838
15,0.25316569526508237,3030.462459573941,247.30899856890898,609.3199467504211,2962.6539184704675,179.5004574654354,309.8811811336922,2875.0497884425918,91.89632743755938,341.02279156017147
16,0.1205085955582137,5447.338050709887,166.12360404223017,345.38330567991073,5313.17450562417,31.960058956512285,75.20673574328755,5418.73440264777,137.51995598011155,278.07470014733485
17,0.20547142512680028,6048.012171133978,274.40109744081275,735.7819038594085,5895.467565522635,121.85649182946895,294.9977053223258,5943.909309905507,170.29823621234186,483.76328163561726
18,0.20119317036570017,8034.81790457393,297.185037084335,802.0704099762861,7838.027219027711,100.39435153811647,254.4339002549634,7949.904345057927,212.2714775683327,586.8701740946312
19,0.17135983305913727,6982.990592297458,197.88767444731545,701.706894659813,6874.604616287812,89.5016984376693,323.9965553829799,6903.476022100163,118.37310425002148,413.8637889267654
20,0.2095998118024064,4297.853524676819,207.7120034561607,655.2766233522664,4209.801163920736,119.65964270007932,313.1276810907322,4192.912134811417,102.77061359076109,380.6639526345952
21,0.059782572907472464,4797.393677866964,48.463282319717486,204.47372040187767,4786.739864611515,37.809469064268576,111.11855937284493,4760.560160023113,11.62976447586646,96.22339209164384
22,0.05948757852968922,4720.633153402755,48.695537374204754,201.82240848092542,4710.442638572131,38.50502254358041,108.40969146278948,4683.134671205146,11.197055176595514,96.24660000646772
23,0.238749773371993,4080.093233272376,246.5361470009633,616.6411244745549,4014.6664388730655,181.10935260165303,375.30335623308764,3917.2585057667497,83.70141949533642,279.2073096755048
24,0.18575861750475053,4733.410162332517,226.50476767829554,603.6085433212755,4649.174027902816,142.26863324859443,327.60390255811126,4604.7588056812865,97.8534110270648,307.3613274315077
25,0.09635765059138135,6288.2263141328285,158.6553416995318,275.6942100690717,6160.233466087627,30.66249365433128,54.83478322571064,6260.1411770748,130.57020464150372,225.46860155194437
26,0.25809141948582603,2968.961382750098,259.99208074624653,547.0692270579373,2886.904847410796,177.93554540694413,283.12902002014107,2815.008102312827,106.03880030897547,302.1005148233923
27,0.09150977812844985,3115.663074954699,90.95257748145181,185.01196182065976,3082.784625099606,58.07412762635878,91.93311179346361,3060.045747352005,35.33524987875773,96.96803924899406
28,0.13860688098997598,5302.46111663589,175.532036823655,468.3839451017104,5207.954345917273,81.02526610503661,221.98233640334092,5227.445725423158,100.5166456109201,262.86667119326427
29,0.18180737139414027,4761.089215896846,174.8348745095109,541.1826797612655,4727.212379284119,140.9580378967855,322.85579547773085,4628.847741144188,42.59339975685412,238.29164095665288
30,0.09072340261284695,8432.068193836705,144.13713187503558,421.7054485821098,8341.360799220265,53.42973725859389,137.0246470821932,8381.905013492144,93.97395153047243,293.0581365063124
31,0.09443204722477239,4492.5828936285325,76.98472474218156,236.03472214776275,4472.070236306281,56.47206741992925,157.47908922147872,4437.438592461605,21.840423575253944,82.25826733962809
32,0.07909939330391125,5869.977360185562,68.20162672998109,208.72972495598106,5842.502031902397,40.72629844681715,126.95052924919652,5830.289219597569,28.5134861419899,85.01530344670773
33,0.1275947453465457,5489.20274874793,149.6653849438298,445.5191026046042,5460.845613780225,121.30824997612578,312.64240922182,5371.660224114953,32.12286031085231,142.58193143527637
34,0.16714143297079276,5002.126882534176,186.25602897590872,486.37299655115953,4988.036784029621,172.1659304713537,363.9190620864557,4835.085778227107,19.214924668840016,133.28663479023675
35,0.13247491990883176,4748.217106404096,158.73145289609883,431.5690337775877,4735.49218648703,146.00653297903304,295.99726352987346,4606.891381006594,17.405727498595258,145.06111436796374
36,0.11158063962325726,10893.519707280779,127.70959844997202,515.1473827829444,10870.859205654298,105.04909682349204,354.7049442212342,10792.155929523704,26.34582069289755,172.88615234334813
37,0.13396390416202986,6745.316635340828,174.06951446036507,472.2623591312167,6718.7186360887135,147.47151520825093,318.7463301993122,6602.810267179831,31.56314629936864,164.24774480244002
38,0.09413857920340252,10643.563189064022,138.4027547702358,454.3920098716685,10598.446940242107,93.28650594832185,251.59181872720444,10554.608347566831,49.44791327304963,214.4826025103792
39,0.0842149378686079,8478.896732786321,93.60680317957217,447.8513436979693,8447.405584927552,62.11565532080479,217.46920875059314,8419.658517265492,34.368587658748616,240.45615820765698
40,0.07339587607596909,15017.499052514402,103.69476154805768,435.37514864847805,14968.794397690766,54.99010672442188,212.78392259425567,14964.870620072918,51.06632910657689,231.7297120064784
41,0.11716200460753845,4920.052687261952,107.81232818779715,297.17801954791184,4896.033344385743,83.79298531158838,205.88424354016246,4838.557677883843,26.317318809689656,96.94003667001006
42,0.07136222169346429,3871.082135338268,67.02054107643353,183.3221008587939,3865.7656109869076,61.70401672507296,123.58606614515662,3810.608450593463,6.546856331626371,62.20024851305825
43,0.13426748527319066,4821.452783776583,131.2430691271095,522.950402696383,4793.8491310384015,103.6394163889275,280.15424141897074,4724.122013911966,33.91229926249212,259.8494614886565
44,0.07668158336767394,3770.4545295203948,74.12194700580436,204.9385950258333,3761.094330864781,64.76174835018993,134.18094420057105,3707.187299086023,10.854716571433398,73.8541673674793
45,0.08804070461443714,2133.173870181432,67.12252898293524,167.60445442049564,2124.267865496615,58.21652429811797,73.93056579749666,2077.695853655679,11.644512457183035,97.15158557404129
46,0.12657358762173032,10709.41569198285,147.09490554445992,611.4679203233216,10649.55277446262,87.2319880242293,279.67303312660886,10628.10696983851,65.7861834001207,350.7853719049606
47,0.1334227956864732,4823.744187695941,106.71320065574432,506.3199690881389,4798.053060404547,81.02207336434951,277.71151833573566,4747.418936335235,30.38794929503776,244.70729290519253
48,0.12069524381885244,6816.260867875104,99.15266469995733,575.6455051696973,6786.333867521097,69.2256643459505,316.4805736122488,6750.968298921767,33.86009574662202,277.1459548915981
49,0.1435129679423176,5133.146417163815,109.01045977422037,542.3421556665695,5108.435994221518,84.30003683192285,286.4755713775428,5054.1299394256275,29.993982036032506,273.8216252020287
50,0.08510277559404456,15632.693542373707,108.37507174849294,479.60385182138083,15570.882121616807,46.56365099159384,171.87932426358054,15588.829209646734,64.51073902152747,317.68845842268064
51,0.14952747978008207,4956.932390096267,130.44736349414572,579.2599594727047,4925.0991599866375,98.61413338451587,291.6398346351559,4865.502599424441,39.017572822319444,308.8669831608008
52,0.08000911291965518,8647.58734412399,96.57035105988076,375.4340217640688,8594.287149343842,43.270156279731665,149.81477973424808,8606.532801437033,55.51580837292766,233.2903874777933
53,0.16422843136871368,4556.759363706617,141.77911607157324,602.9839006539619,4523.566842184966,108.58659454992339,309.69085626216764,4456.623123462017,41.642875826975136,317.3936018444151
54,0.11290935612043296,2478.1650133047456,106.2134672811274,268.26836132576136,2469.5419263028894,97.59038027927114,148.92583467175717,2385.807814914846,13.85626889122785,127.3285184969864
55,0.13608813910799167,4237.000620846723,162.37093462580137,327.4564224512489,4180.463366551743,105.83368033082077,157.55147553015732,4137.951825697809,63.322139476887735,180.00540519081002
56,0.10801059859080198,5383.827039675726,80.19050571914671,388.89194711688475,5330.336123841419,26.69958988484027,76.2467700179426,5359.409632180332,55.77309822375416,319.16246955690684
57,0.06845243351223318,7561.133814158644,75.25196867685598,222.9061477313359,7507.568378959392,21.686533477604723,94.5590616881299,7540.577327004878,54.695481523088205,133.27438897783543
58,0.13410297303219865,3929.5337578909675,105.72388747421617,432.52932163920065,3879.9594524784056,56.14958206165373,116.07273359120549,3879.089844158081,55.2799737413292,328.2513778855675
59,0.09961323715449943,6656.382101280565,96.1316538139054,360.02097144502994,6629.727977750628,69.47753028396684,162.77802191199427,6590.212508545914,29.962061079252873,204.99307433863865
60,0.0689706287562788,7493.298482287446,70.78707900083482,275.4437765309394,7457.495500766156,34.984097479544815,91.60523013394767,7459.826066394468,37.314663107857534,187.79685744696917
61,0.1793707437250417,3322.398531775674,149.0620971195876,497.4182859531252,3274.3063902013696,100.96995554528255,190.77390660554005,3233.2666153642185,59.930180708132376,329.0113196905137
62,0.19471420379605064,6947.292971759009,243.51229916185522,723.8630211984046,6824.2241969049,120.44352430774535,314.80985216839855,6842.171113087835,138.3904404906799,449.1002477064648
63,0.2506836315079203,4600.458798042711,242.40096964870702,723.5994965630106,4517.183831213005,159.12600281900075,382.48052825505306,4460.375607813953,102.317779419949,386.89090306372896
64,0.2565908771345019,3207.5391676587155,214.5546290700939,636.5893248944981,3158.744320412428,165.75978182380615,343.4402831943294,3062.7292698758783,69.74473128725634,336.5554339429293
65,0.09617702206313572,1227.1894294980912,34.092654635301265,96.47526460291283,1216.0344846187727,22.93770975598268,38.13192253140394,1205.4671774754968,12.370402612706762,60.363933517769794
66,0.05099057357456116,4720.330316343493,61.49928788022848,150.64166469581505,4675.435254303584,16.604225840320034,49.859358726175394,4704.271799615997,45.44077115273173,102.42096751749254
67,0.19712748220955068,5563.458916053293,201.06779329249528,584.505652586736,5465.575571883457,103.184449122659,221.98490309330973,5473.085158289101,110.6940355283029,390.08091097073367
68,0.18809555997221428,6613.159554888025,249.95332676744474,753.9276475286963,6471.126441501041,107.92021338046152,315.1532611023804,6519.079362800029,155.87313467944972,479.190613446461
69,0.17553268641494313,3660.6631351213096,196.526603918074,484.573009626903,3579.673841788978,115.53731058574239,284.42805592165047,3555.3547037624053,91.21817255916947,225.3262584975928
70,0.21625300960905125,4209.20760564115,200.6732956632365,613.8420999048295,4151.6113402552555,143.07703027734217,323.0410111464286,4080.8612225439174,72.3269125660049,324.0601181824816
71,0.1819155442460012,13121.030282354513,251.58001139101503,761.4704230350534,12967.410490747528,97.96021978402898,262.48413431837514,13035.9689875236,166.5187165600989,533.5489219714835
72,0.10062544662394901,10724.916086903015,173.3007421937302,391.10941188802485,10598.183594257382,46.56824954809476,114.13368904014266,10682.005965916009,130.3906212067214,285.9413960632487
73,0.19964830678203693,21799.02211814821,254.35589148383895,1165.6107080358934,21677.7520176421,133.08579097772093,541.211760034788,21683.023387084195,138.35716041982337,693.8858383879573
74,0.15116713305821072,7024.580621604863,139.2971711945168,478.3870253935574,6964.214821118238,78.93137070789136,188.81653015387045,6953.269340685721,67.98589027537649,307.79897525300925
75,0.1424203724000006,8905.20200056248,184.52837864599934,678.7427151888091,8823.456750047262,102.78312813077869,364.18673546088274,8810.48605564122,89.81243372474134,343.14005934167346
76,0.12903539832540956,7836.39460410192,138.14903857471344,557.6355529811105,7777.472363562699,79.22679803549163,308.8304944837754,7762.517847301088,64.27228177388027,269.65981876756604
77,0.17488279014281594,3665.925293409053,148.89410895611206,503.1671193279172,3626.4421446260285,109.41096017308708,303.0048832164227,3564.9950534650434,47.96386901210302,223.64891092485584
78,0.14771921126743925,6858.645908602997,159.20089990696118,614.5684876235257,6802.019464435249,102.57445573921078,393.6323170778867,6762.626055762394,63.18104706635644,246.08964085079467
79,0.0989485024277369,2008.2336971904083,63.6681284272063,157.89381487524497,2003.1131499091164,58.54758114591448,88.50386001896506,1952.2396532495861,7.674084486384144,73.2500272099006
80,0.13193992700538004,6701.821100609356,136.78302190940556,486.32260540868765,6626.973056219211,61.934977519261544,176.48180806253822,6645.131136050295,80.09305735034535,324.78629999430825
81,0.12519347505952438,8111.57600890323,145.8408461818911,513.9984695163375,8037.281305977149,71.54614325580891,171.90114915863123,8046.408103996389,80.67294127504796,357.4220667647162
82,0.19714399566566654,3897.3850477977076,147.24395078633904,519.4039436112121,3867.448894656537,117.30779764516852,361.3372541108437,3787.6939252201287,37.552828208759635,181.5279470606029
83,0.22322412499905764,4729.250930440852,190.04581338147864,658.5826093176546,4688.635583545929,149.4304664865563,444.91393020508167,4590.846652099464,51.64153504009256,246.49802655551662
84,0.18718667562545743,4985.747787294764,171.40332752133355,622.3681803877206,4939.900536660921,125.55607688748997,421.95832081996247,4868.697483483409,54.35302370997922,228.99534753022442
85,0.1718061267614659,22750.289370518472,215.60986483638652,1112.6584573383082,22683.590541834874,148.91103615278368,724.528586604756,22612.673877211033,77.99437152894673,443.0884816203483
86,0.19879043848783462,4735.446722545461,205.00938896369695,466.44050039935405,4624.5351009840415,94.09776740227728,203.4961856510705,4653.974149283449,123.5368157016852,290.2476070747084
87,0.21654189724779493,6825.592625903342,350.5032652924951,799.9614129631568,6584.836272573802,109.74691196295,267.81574118849005,6734.495804811043,259.40644420019595,577.657548331542
88,0.1834460746731975,6243.067719114339,227.0040361557594,721.5061260597541,6116.635408103245,100.57172514466622,303.9799516788655,6155.570309617915,139.50662665933453,457.04354204331855
89,0.18670334934357258,4975.802468800541,210.58978974176043,451.33459398190723,4852.834634993982,87.621955935203,185.42669670166674,4899.7789333029905,134.56625424420994,290.45262200998116
90,0.17925656606336304,6211.357514610207,238.43912663225873,670.76276797211,6054.083045203584,81.16465722563696,261.2935158305673,6140.554027198843,167.6356392208945,442.8249833357566
91,0.1762814336988966,1444.7160938980555,166.8872170155805,263.529879331585,1432.2209950215065,154.39211813903097,157.94451682936386,1305.1102732533657,27.281396370890473,120.71187700042793
92,0.1818488194074923,6305.608399840934,249.50247692840944,691.3873465447914,6142.622020082003,86.51609716947651,268.4721331741167,6230.512834008488,174.40691109596304,458.35479641183
93,0.22878650674824608,2495.538024107759,174.42413645136648,388.67095523088125,2446.5687714393744,125.4548837829819,188.44780929281987,2384.349577727157,63.23569007076453,221.65299222082788
94,0.1741495003418656,5613.723376822262,269.1680568224666,568.8386305711866,5435.1326413172055,90.5773213174094,204.06373434975004,5534.959891538359,190.4045715385632,391.3905596450081
95,0.18926447019724024,4755.3966286794275,207.03879517315963,462.3569617864421,4642.163312710379,93.80547920411053,192.87548893600587,4673.485061986245,125.12722847997696,293.9368054213162
96,0.1485612940259785,2694.8052128729623,113.27830547481302,299.90410665556067,2639.407837613263,57.88093021511286,124.81189170152652,2641.7254247652263,60.19851736707601,185.44518658946538
97,0.13900155932269875,5559.169968041192,158.37451000232787,411.33326515835057,5451.875679335095,51.080221296230484,108.32307326883932,5513.209056457441,112.41359841857856,313.8664361852247
98,0.12170597829764296,3339.5391913257263,132.91648471935062,308.6727280087262,3264.9004446261547,58.277738019779214,113.3902594413493,3285.909693075407,79.28698646903153,204.32649002932513
99,0.15536476979305747,2357.515157434199,172.1751328848477,318.47359073726994,2277.267544017851,91.92751946850002,125.8532506402556,2274.770210100642,89.43018555129113,205.19172850282533
100,0.12086509025337666,7577.686331473367,147.96759462774207,391.80792370509477,7488.3696136286635,58.65087678303676,169.2377315062667,7523.917078629161,94.19834178353543,236.65617022317082
101,0.12003489346325802,5169.7221974428085,134.3086018844115,348.2452693113715,5084.499639011714,49.08604345331738,101.86256474053435,5125.10216156128,89.68856600288468,255.65049136742175
102,0.14609349164157193,934.2215462727276,79.26578398567331,122.9567713132701,937.1598962902976,82.20413400324342,63.97548135238732,858.228000370409,3.2722380833545466,63.8146887680813
103,0.11440329268580862,5336.924766826884,131.85088072304762,391.3913104304598,5268.485134743822,63.41124863998505,157.20680676363324,5278.4162229502,73.34233684636551,246.3391067833737
104,0.1983540746494532,9498.656319231884,247.83831433054957,639.04147663825,9396.21985326555,145.4018483642122,316.5519146030728,9369.18628080149,118.36827590015628,357.17443705141494
105,0.23350433493326295,2489.092420598644,162.96342343022496,430.62851911339175,2464.2001822990424,138.07118513062352,238.58443201868263,2366.810862730441,40.681865562021535,219.32826842933912
106,0.10378575492751174,18614.30875310316,108.40290299111544,752.9966159394403,18563.620844252946,57.71499414090327,262.283238473982,18560.817284446184,54.91143433413741,509.90700224512744
107,0.11885900156388296,4144.738082789361,119.61002840602215,305.08636072024217,4087.652668471364,62.52461408802451,116.61690952365672,4087.0792393225506,61.951184939211366,197.5447752201467
108,0.07625605468321928,6121.529864193497,88.62719348479577,278.4380753241657,6072.21070646369,39.308035754987586,94.69249706820877,6084.316230727164,51.41356001846053,188.7909634747464
109,0.09901432751345784,18380.666079520237,107.54581556041079,739.9406524285124,18330.426656992153,57.30639303232717,236.23035265359522,18327.47136393944,54.35109997961862,520.6595957082003
110,0.11721661278350959,2937.778698994897,86.81777232822114,303.6822781002648,2901.748069487701,50.78714282102518,98.80392025750689,2891.2807816231525,40.31985495647603,213.2228376799204
111,0.03630331871672432,5659.627493705284,27.640032904097858,108.21137162722266,5644.9731752732205,12.985714472033353,46.6651454779556,5646.953126392489,14.965665591300095,62.6650756751185
112,0.047615375888644396,7608.82228808563,45.30804820836428,150.18624118509868,7588.864993711866,25.35075383460182,75.75511880127286,7584.1337577778995,20.619517900638094,76.41003087225857
113,0.09162997473998025,5649.727575456726,106.83239633290866,284.4868678491855,5626.786303505958,83.89112438214057,201.9790701059427,5568.19608583803,25.30090671421364,88.18893312938212
114,0.13395745644911794,6656.606967479989,155.48232352013736,545.9612603396383,6572.300395333013,71.17575137316064,247.16655204193603,6591.532459510775,90.4078155509259,319.98202653782073
115,0.08595620136125093,3944.3902674198607,95.67353859051315,240.77326941904187,3880.856690142561,32.139961313214066,67.17201441947682,3914.2407938654515,65.52406503610422,177.76134315689828
116,0.09110305630667248,2825.248091944609,72.75926524066575,208.53848984863717,2787.0744486841563,34.58562198021317,71.02416848314203,2792.6007008234633,40.11187411951894,141.49462379210217
117,0.12004291610467388,2707.3857689015163,99.60012124770155,276.54417800328247,2647.891753916374,40.10610626255861,62.523317616924,2671.2804294821667,63.49478182835302,220.25784620621607
118,0.15795339995459667,6075.997674451883,177.44579257160726,470.02825013342874,5997.343584366015,98.79170248573979,228.30193778210327,5986.044528746531,87.4926468662545,262.1517083045007
119,0.16049226019499463,4806.691631689635,193.37069263861744,399.6515941719729,4722.739418735326,109.41847968430734,195.03310093790682,4705.50225260387,92.18131355285219,219.28646351014928
120,0.13513877704626698,4827.860116528581,186.7824729508506,379.7937467430293,4708.930001067817,67.8523574900866,170.4367877125821,4765.918970731843,124.84132715411201,224.20519673022795
121,0.12108374760940699,3011.736825081933,95.87233751181456,218.2714254917092,2978.1832148404724,62.3187272703538,133.16547507171404,2951.8507002150086,35.986212644891346,90.30404526086228
122,0.10576374754639184,11372.364483044334,149.64622987239056,347.28550355592023,11282.71796930801,59.99971613606592,140.72653542007035,11316.685847328368,93.96759415642975,216.69386069790596
123,0.1422292993414721,3215.9185841142153,150.41024885677206,315.03683713066414,3182.74060913429,117.23227387684634,180.16877544546182,3104.9736879862776,39.465352728833636,144.5308372360185
